Fecha,SPYOpen,SPYHigh,SPYLow,SPYClose,SPYVolume,APPLOpen,APPLHigh,APPLLow,APPLClose,APPLVolume,QQQOpen,QQQHigh,QQQLow,QQQClose,QQQVolume,UUPOpen,UUPHigh,UUPLow,UUPClose,UUPVolume,BTC-USDOpen,BTC-USDHigh,BTC-USDLow,BTC-USDClose,BTC-USDVolume,KOOpen,KOHigh,KOLow,KOClose,KOVolume,Retorno Diario
2012-01-03,127.76,128.38,127.43,127.5,193697900,14.62,14.73,14.61,14.69,302220800,56.91,57.19,56.75,56.9,39514100,22.32,22.33,22.24,22.28,11581900,361.89,363.07,344.95,352.22,32915500.0,35.08,35.36,35.05,35.07,15639600,
2012-01-04,127.2,127.81,126.71,127.7,127186500,14.64,14.81,14.62,14.77,260022000,56.81,57.22,56.56,57.14,29403400,22.4,22.47,22.37,22.4,3994200,352.2,352.38,346.36,346.36,16427700.0,34.96,35.04,34.75,34.85,14239200,0.0015686274509805198
2012-01-05,127.01,128.23,126.43,128.04,173895000,14.82,14.95,14.74,14.93,271269600,57.02,57.66,56.8,57.61,41260600,22.59,22.65,22.59,22.64,6060500,344.34,361.36,338.76,350.51,32431300.0,34.88,34.94,34.67,34.69,14287600,0.002662490211432944
2012-01-06,128.2,128.22,127.29,127.71,148050000,14.99,15.1,14.97,15.09,318292800,57.62,57.94,57.4,57.81,46325200,22.68,22.77,22.68,22.72,5033300,350.83,352.98,349.29,352.54,16989800.0,34.74,34.81,34.31,34.47,13646600,-0.002577319587628857
2012-01-09,128.0,128.18,127.41,128.02,99530200,15.2,15.28,15.05,15.06,394024400,57.96,57.98,57.43,57.62,39195500,22.67,22.72,22.63,22.64,5967100,352.38,352.38,346.59,347.38,11675900.0,34.5,34.58,34.4,34.47,10522600,0.0024273745203979846
2012-01-10,129.39,129.65,128.95,129.13,115282000,15.21,15.21,15.05,15.12,258196400,58.23,58.4,57.64,58.04,35949900,22.6,22.63,22.58,22.62,1946300,346.73,353.32,345.42,351.63,12415200.0,34.74,34.76,34.56,34.67,12964400,0.00867052023121384
2012-01-11,128.73,129.37,128.52,129.2,111540700,15.1,15.1,14.98,15.09,215084800,58.03,58.29,57.81,58.16,37144100,22.71,22.78,22.71,22.72,3701100,351.36,351.82,344.93,345.35,17264200.0,34.19,34.38,33.78,34.03,23428800,0.0005420893673042659
2012-01-12,129.57,129.7,128.54,129.51,118983700,15.08,15.1,14.96,15.05,212587200,58.29,58.47,57.86,58.39,26188300,22.61,22.63,22.55,22.57,5006700,345.67,345.86,327.06,327.06,30864900.0,34.21,34.25,33.67,33.79,15237000,0.0023993808049536103
2012-01-13,128.64,129.05,127.72,128.84,179836200,14.99,15.02,14.95,14.99,226021600,58.08,58.2,57.68,58.18,35980400,22.74,22.85,22.73,22.75,5596100,326.86,333.95,315.15,319.78,37567900.0,33.67,33.72,33.29,33.49,19991800,-0.005173345687591646
2012-01-17,130.08,130.32,128.9,129.34,132209200,15.15,15.21,15.11,15.17,242897200,58.69,58.96,58.49,58.71,41790800,22.68,22.69,22.62,22.67,4433600,319.79,323.71,304.23,311.4,39173000.0,33.87,33.94,33.66,33.67,15577000,0.0038807823657249774
2012-01-18,129.31,130.84,129.08,130.77,163395200,15.25,15.34,15.23,15.33,276791200,58.82,59.49,58.68,59.49,48692700,22.55,22.57,22.47,22.47,3362100,311.18,318.53,306.77,317.84,23823100.0,33.73,33.91,33.59,33.79,13282200,0.011056131127261448
2012-01-19,131.22,131.57,130.8,131.46,126328900,15.36,15.41,15.23,15.28,261738400,59.76,59.97,59.65,59.86,47774500,22.42,22.46,22.35,22.35,8162200,317.62,330.33,316.04,329.96,20856700.0,33.83,33.87,33.63,33.72,13544800,0.005276439550355505
2012-01-20,131.24,131.95,130.92,131.95,138230200,15.27,15.27,14.99,15.01,413974400,59.6,59.8,59.56,59.77,41041700,22.42,22.43,22.36,22.37,2612900,329.54,329.63,318.9,320.84,15207600.0,33.77,34.06,33.7,34.04,19158600,0.0037273695420658726
2012-01-23,131.51,132.25,130.98,131.61,129295800,15.1,15.3,15.08,15.26,306062400,59.78,60.21,59.44,59.79,40958300,22.26,22.28,22.21,22.24,5025900,321.07,334.12,320.42,331.89,22315100.0,34.0,34.31,33.96,34.26,13803200,-0.002576733611216131
2012-01-24,130.8,131.5,130.6,131.46,103083300,15.18,15.18,14.98,15.01,547638000,59.52,59.84,59.41,59.68,38440200,22.36,22.38,22.27,22.27,2846000,332.02,336.29,329.6,334.57,16574200.0,34.08,34.25,33.86,33.95,14751200,-0.0011397310234785296
2012-01-25,131.26,132.87,130.75,132.56,198613200,16.23,16.23,15.85,15.95,958314000,60.26,60.58,59.83,60.43,61591800,22.36,22.41,22.15,22.17,9775700,334.39,334.74,321.36,322.53,15092300.0,33.96,34.25,33.77,34.22,14476000,0.008367564278107364
2012-01-26,133.15,133.4,131.36,131.88,184880500,16.01,16.03,15.83,15.88,323985200,60.69,60.8,59.93,60.22,37852700,22.08,22.17,22.06,22.15,4780200,322.29,322.67,316.96,319.01,9883640.0,34.31,34.31,33.88,34.01,14721000,-0.005129752564876355
2012-01-27,131.24,132.05,131.15,131.82,135259100,15.87,16.02,15.85,15.97,299709200,60.09,60.51,60.06,60.4,45532300,22.13,22.14,21.97,21.99,7104000,319.15,331.42,316.63,327.92,16410500.0,33.96,34.07,33.62,33.72,16825000,-0.00045495905368519995
2012-01-30,130.51,131.44,130.06,131.37,147311800,15.92,16.21,15.91,16.18,379341200,59.89,60.54,59.66,60.45,42797800,22.14,22.15,22.06,22.07,2236500,327.58,328.91,312.63,315.86,15185200.0,33.65,33.79,33.51,33.73,10591600,-0.003413746017296271
2012-01-31,132.02,132.18,130.68,131.32,157212000,16.27,16.37,16.18,16.3,391683600,60.75,60.86,60.14,60.53,51449600,22.01,22.18,22.01,22.12,4211700,316.16,320.03,311.08,317.24,11676600.0,33.99,33.99,33.59,33.76,13543400,-0.0003806043997869324
2012-02-01,132.29,133.14,132.13,132.47,166234500,16.37,16.39,16.27,16.29,270046000,60.88,61.24,60.66,61.02,46146700,22.0,22.02,21.93,22.02,3585600,317.7,320.27,312.31,312.67,12302500.0,33.94,34.17,33.9,33.92,14915000,0.008757234236978384
2012-02-02,132.73,133.02,132.21,132.68,113090400,16.28,16.33,16.21,16.25,186796400,61.22,61.41,60.97,61.21,46373600,22.03,22.05,21.97,22.03,1509400,312.72,314.81,309.37,310.74,12528300.0,34.04,34.12,33.88,33.92,13150000,0.0015852645882086236
2012-02-03,134.0,134.62,133.77,134.54,160598500,16.33,16.43,16.27,16.42,286599600,61.78,62.12,61.68,62.05,36453800,22.11,22.12,22.0,22.03,6590300,310.91,320.19,310.21,320.19,13942900.0,34.13,34.24,33.92,34.04,16555800,0.014018691588784993
2012-02-06,133.98,134.51,133.83,134.45,107694500,16.37,16.61,16.36,16.57,249412800,61.82,62.02,61.66,62.0,28541300,22.15,22.15,22.03,22.04,2234400,320.43,320.43,314.0,314.25,8036550.0,33.92,34.12,33.85,34.01,14586400,-0.00066894603835288
2012-02-07,134.17,135.02,133.64,134.79,135528100,16.62,16.78,16.59,16.74,316223600,61.95,62.25,61.67,62.13,37935700,21.98,22.01,21.88,21.89,5194100,314.08,315.84,313.57,315.03,7860650.0,34.04,34.72,33.81,34.28,24269600,0.0025288211230940494
2012-02-08,134.86,135.22,134.31,135.19,139361400,16.8,17.03,16.78,17.02,407890000,62.14,62.46,61.91,62.46,41171100,21.91,21.96,21.87,21.91,4589800,314.85,315.15,281.08,281.08,33054400.0,34.42,34.42,34.1,34.17,16428400,0.002967579197269865
2012-02-09,135.41,135.59,134.56,135.36,148602900,17.17,17.74,17.16,17.61,884214800,62.7,62.98,62.32,62.91,46856400,21.87,21.92,21.84,21.92,2764100,281.15,287.23,257.61,264.2,55629100.0,34.18,34.2,33.88,33.99,16311400,0.0012574894592796149
2012-02-10,134.16,134.47,133.84,134.36,167907500,17.53,17.77,17.45,17.62,631302000,62.46,62.64,62.25,62.47,58090500,22.06,22.08,22.03,22.06,5713900,265.08,278.34,265.08,274.47,43962800.0,33.76,33.97,33.71,33.97,10994600,-0.007387706855791931
2012-02-13,135.32,135.52,134.74,135.36,115841900,17.84,17.99,17.75,17.95,517216000,62.94,63.13,62.65,63.05,36810200,21.97,22.03,21.96,22.03,1274500,274.61,287.55,272.7,286.19,23245700.0,34.21,34.3,34.04,34.22,11091000,0.007442691277165903
2012-02-14,135.0,135.27,134.25,135.19,165329500,18.02,18.2,17.93,18.2,460398400,62.91,63.22,62.69,63.21,51648200,22.09,22.21,22.06,22.14,4218500,286.08,298.75,283.08,294.34,24866800.0,34.24,34.47,34.05,34.45,12596000,-0.0012559101654847638
2012-02-15,135.63,135.83,134.29,134.56,195195100,18.37,18.8,17.75,17.77,1506120000,63.51,63.86,62.67,62.77,105709100,22.15,22.24,22.14,22.21,2198000,294.14,294.14,282.17,283.35,19982500.0,34.62,34.63,34.12,34.2,14776800,-0.004660107996153573
2012-02-16,134.57,136.17,134.33,136.05,186567800,17.55,18.03,17.38,17.94,944552000,62.79,63.7,62.63,63.63,83642300,22.29,22.3,22.09,22.13,8186200,282.38,291.11,280.53,290.41,18718600.0,34.31,34.49,34.21,34.43,11752000,0.011073127229488833
2012-02-17,136.52,136.63,135.96,136.41,129869400,17.97,18.13,17.87,17.93,535805200,63.64,63.69,63.15,63.43,76112300,22.07,22.14,22.07,22.13,2386100,287.3,288.13,273.97,274.8,15264300.0,34.54,34.58,34.3,34.53,14841800,0.0026460859977948115
2012-02-21,136.73,137.05,136.05,136.47,134042300,18.1,18.39,18.0,18.39,605595200,63.5,63.89,63.21,63.61,38141300,22.03,22.06,21.99,22.04,3000400,274.61,279.64,265.04,265.66,18200800.0,34.44,34.53,34.25,34.41,13424800,0.0004398504508467127
2012-02-22,136.26,136.55,135.79,136.03,124455300,18.32,18.41,18.18,18.32,483302400,63.49,63.68,63.23,63.32,43174700,22.09,22.12,22.06,22.07,2492500,266.15,272.2,265.2,267.8,18880300.0,34.3,34.67,34.3,34.63,13766400,-0.003224151828240651
2012-02-23,135.96,136.73,135.5,136.63,137704300,18.4,18.49,18.2,18.44,568027600,63.4,63.81,63.09,63.74,54250000,22.01,22.05,21.9,21.9,4149900,267.39,268.28,219.91,225.86,72843904.0,34.54,34.65,34.46,34.59,11120000,0.0044107917371167815
2012-02-24,136.93,137.2,136.63,136.93,105539100,18.56,18.67,18.52,18.66,415072000,63.92,64.07,63.8,63.96,41364900,21.86,21.87,21.79,21.81,8854600,223.89,223.89,171.51,178.1,97638704.0,34.67,34.75,34.42,34.5,12485400,0.002195711044426618
2012-02-27,136.02,137.53,135.8,137.16,145728900,18.62,18.88,18.44,18.78,547582000,63.61,64.26,63.33,64.05,42678500,21.9,21.91,21.84,21.88,7572600,176.9,229.07,176.9,209.84,81773504.0,34.35,34.5,34.26,34.42,12086200,0.0016796903527349638
